"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
43265.5705902778,0,3384.3,0,0,1.175104,250102
43265.6097604167,33843,.8,1,0,3.111111E-04,685
43265.6097696759,33851,.9,2,1,1.072222E-03,845
43265.6097800926,33860,.8,2,2,1.033333E-03,790
43265.6097893519,33868,.8,2,3,1.033333E-03,931
43265.6097986111,33876,1.1,2,4,.00115,1169
43265.6098113426,33887,.7,2,5,9.944445E-04,814
43265.6098194444,33894,.7,2,6,9.944445E-04,937
43265.6098275463,33901,.7,2,7,9.944445E-04,814
43265.6098356481,33908,.9,2,8,1.072222E-03,851
43265.6098460648,33917,.7,2,9,9.944445E-04,769
43265.6098541667,33924,.7,2,10,9.944445E-04,805
43265.6098622685,33931,1,2,11,1.111111E-03,1226
43265.6098738426,33941,1.3,2,12,1.227778E-03,1577
43265.6098888889,33954,.7,2,13,9.944445E-04,959
43265.6098969907,33961,.7,2,14,9.944445E-04,706
43265.6099050926,33968,1.3,2,15,1.227778E-03,1468
43265.6099201389,33981,1.3,2,16,1.227778E-03,1578
43265.6099351852,33994,.7,2,17,9.944445E-04,910
43265.609943287,34001,.7,2,18,9.944445E-04,879
43265.6099513889,34008,1,2,19,1.111111E-03,1117
43265.609962963,34018,1,2,20,1.111111E-03,1196
43265.609974537,34028,1.6,2,21,1.344444E-03,1847
43265.6099930556,34044,1,2,22,1.111111E-03,1226
43265.6100046296,34054,.7,2,23,9.944445E-04,963
43265.6100127315,34061,.7,2,24,9.944445E-04,745
43265.6100208333,34068,1,2,25,1.111111E-03,1193
43265.6100324074,34078,1,2,26,1.111111E-03,1237
43265.6100439815,34088,1.6,2,27,1.344444E-03,1848
43265.6100625,34104,.7,2,28,9.944445E-04,938
43265.6100706018,34111,.7,2,29,9.944445E-04,786
43265.6100787037,34118,1,2,30,1.111111E-03,1171
43265.6100902778,34128,1,2,31,1.111111E-03,1228
43265.6101018519,34138,1.6,2,32,1.344444E-03,1856
43265.6101203704,34154,.7,2,33,9.944445E-04,920
43265.6101284722,34161,.7,2,34,9.944445E-04,814
43265.6101365741,34168,1,2,35,1.111111E-03,1067
43265.6101481481,34178,1,2,36,1.111111E-03,1161
43265.6101597222,34188,1,2,37,1.111111E-03,1278
43265.6101712963,34198,1,2,38,1.111111E-03,1247
43265.6101828704,34208,1.3,2,39,1.227778E-03,1381
43265.6101979167,34221,.7,2,40,9.944445E-04,815
43265.6102060185,34228,.7,2,41,9.944445E-04,822
43265.6102141204,34235,.9,2,42,1.072222E-03,1027
43265.610224537,34244,.7,2,43,9.944445E-04,839
43265.6102326389,34251,.7,2,44,9.944445E-04,970
43265.6102407407,34258,.7,2,45,9.944445E-04,801
43265.6102488426,34265,1.3,2,46,1.227778E-03,1393
43265.6102638889,34278,.7,2,47,9.944445E-04,820
43265.6102719907,34285,1.3,2,48,1.227778E-03,1564
43265.610287037,34298,1,2,49,1.111111E-03,1274
43265.6102986111,34308,.7,2,50,9.944445E-04,805
43265.610306713,34315,.9,2,51,1.072222E-03,863
43265.6103171296,34324,.7,2,52,9.944445E-04,761
43265.6103252315,34331,.7,2,53,9.944445E-04,884
43265.6103333333,34338,1,2,54,1.111111E-03,1226
43265.6103449074,34348,1,2,55,1.111111E-03,1250
43265.6103564815,34358,1,2,56,1.111111E-03,1214
43265.6103680556,34368,1,2,57,1.111111E-03,1112
43265.6103796296,34378,.7,2,58,9.944445E-04,815
43265.6103877315,34385,1.3,2,59,1.227778E-03,1505
43265.6104027778,34398,1,2,60,1.111111E-03,1291
43265.6104143519,34408,1,2,61,1.111111E-03,1170
43265.6104259259,34418,1,2,62,1.111111E-03,1105
43265.6104375,34428,.7,2,63,9.944445E-04,820
43265.6104456019,34435,1,2,64,1.111111E-03,1251
43265.6104571759,34445,1.3,2,65,1.227778E-03,1538
43265.6104722222,34458,1,2,66,1.111111E-03,1096
43265.6104837963,34468,1,2,67,1.111111E-03,1130
43265.6104953704,34478,1,2,68,1.111111E-03,1054
43265.6105069444,34488,.7,2,69,9.944445E-04,925
43265.6105150463,34495,1,2,70,1.111111E-03,1275
43265.6105266204,34505,.7,2,71,9.944445E-04,804
43265.6105347222,34512,.9,2,72,1.072222E-03,879
43265.6105451389,34521,.7,2,73,9.944445E-04,767
43265.6105532407,34528,.7,2,74,9.944445E-04,816
43265.6105613426,34535,1,2,75,1.111111E-03,1240
43265.6105729167,34545,1,2,76,1.111111E-03,1267
43265.6105844907,34555,.7,2,77,9.944445E-04,839
43265.6105925926,34562,.9,2,78,1.072222E-03,908
43265.6106030093,34571,.7,2,79,9.944445E-04,735
43265.6106111111,34578,.7,2,80,9.944445E-04,811
43265.610619213,34585,1,2,81,1.111111E-03,1237
43265.610630787,34595,1,2,82,1.111111E-03,1227
43265.6106423611,34605,1,2,83,1.111111E-03,1277
43265.6106539352,34615,1,2,84,1.111111E-03,1144
43265.6106655093,34625,.7,2,85,9.944445E-04,754
43265.6106736111,34632,1.3,2,86,1.227778E-03,1513
43265.6106886574,34645,1.3,2,87,1.227778E-03,1554
43265.6107037037,34658,.7,2,88,9.944445E-04,951
43265.6107118056,34665,.7,2,89,9.944445E-04,752
43265.6107199074,34672,1,2,90,1.111111E-03,1138
43265.6107314815,34682,1,2,91,1.111111E-03,1228
43265.6107430556,34692,1.6,2,92,1.344444E-03,1859
43265.6107615741,34708,.7,2,93,9.944445E-04,946
43265.6107696759,34715,.7,2,94,9.944445E-04,791
43265.6107777778,34722,1,2,95,1.111111E-03,1148
43265.6107893518,34732,1,2,96,1.111111E-03,1205
43265.6108009259,34742,1.6,2,97,1.344444E-03,1872
43265.6108194444,34758,.7,2,98,9.944445E-04,942
43265.6108275463,34765,.7,2,99,9.944445E-04,792
43265.6108356481,34772,1,2,100,1.111111E-03,1116
43265.6108472222,34782,1,2,101,1.111111E-03,1164
43265.6108587963,34792,1,2,102,1.111111E-03,1267
43265.6108703704,34802,1.3,2,103,1.227778E-03,1537
43265.6108854167,34815,.7,2,104,9.944445E-04,903
43265.6108935185,34822,1,2,105,1.111111E-03,1011
43265.6109050926,34832,1,2,106,1.111111E-03,1130
43265.6109166667,34842,1,2,107,1.111111E-03,1253
43265.6109282407,34852,1.3,2,108,1.227778E-03,1547
43265.610943287,34865,.7,2,109,9.944445E-04,919
43265.6109513889,34872,1.3,2,110,1.227778E-03,1238
43265.6109664352,34885,1,2,111,1.111111E-03,1207
43265.6109780093,34895,1,2,112,1.111111E-03,1228
43265.6109895833,34905,.7,2,113,9.944445E-04,927
43265.6109976852,34912,.7,2,114,9.944445E-04,859
43265.611005787,34919,1,2,115,1.111111E-03,1091
43265.6110173611,34929,1.6,2,116,1.344444E-03,1830
43265.6110358796,34945,1,2,117,1.111111E-03,1223
43265.6110474537,34955,1,2,118,1.111111E-03,1226
43265.6110590278,34965,.7,2,119,9.944445E-04,916
43265.6110671296,34972,.7,2,120,9.944445E-04,755
43265.6110752315,34979,1,2,121,1.111111E-03,1194
43265.6110868056,34989,1.6,2,122,1.344444E-03,1841
43265.6111053241,35005,1,2,123,1.111111E-03,1228
43265.6111168981,35015,.7,2,124,9.944445E-04,905
43265.611125,35022,.7,2,125,9.944445E-04,756
43265.6111331019,35029,1,2,126,1.111111E-03,1194
43265.6111446759,35039,1.6,2,127,1.344444E-03,1852
43265.6111631944,35055,1,2,128,1.111111E-03,1227
43265.6111747685,35065,.7,2,129,9.944445E-04,832
43265.6111828704,35072,.7,2,130,9.944445E-04,770
43265.6111909722,35079,1,2,131,1.111111E-03,1156
43265.6112025463,35089,1.6,2,132,1.344444E-03,1891
43265.6112210648,35105,.7,2,133,9.944445E-04,905
43265.6112291667,35112,.7,2,134,9.944445E-04,844
43265.6112372685,35119,1,2,135,1.111111E-03,1036
43265.6112488426,35129,1,2,136,1.111111E-03,1189
43265.6112604167,35139,1,2,137,1.111111E-03,1264
43265.6112719907,35149,1.3,2,138,1.227778E-03,1547
43265.611287037,35162,.7,2,139,9.944445E-04,873
43265.6112951389,35169,1,2,140,1.111111E-03,1007
43265.611306713,35179,.7,2,141,9.944445E-04,818
43265.6113148148,35186,1.3,2,142,1.227778E-03,1552
43265.6113298611,35199,1,2,143,1.111111E-03,1269
43265.6113414352,35209,1,2,144,1.111111E-03,1232
43265.6113530093,35219,1,2,145,1.111111E-03,1102
43265.6113645833,35229,.7,2,146,9.944445E-04,810
43265.6113726852,35236,1.3,2,147,1.227778E-03,1514
43265.6113877315,35249,1.3,2,148,1.227778E-03,1569
43265.6114027778,35262,.7,2,149,9.944445E-04,949
43265.6114108796,35269,.7,2,150,9.944445E-04,751
43265.6114189815,35276,1,2,151,1.111111E-03,1183
43265.6114305556,35286,1,2,152,1.111111E-03,1235
43265.6114421296,35296,1.6,2,153,1.344444E-03,1850
43265.6114606482,35312,.7,2,154,9.944445E-04,942
43265.61146875,35319,.7,2,155,9.944445E-04,789
43265.6114768519,35326,1,2,156,1.111111E-03,1142
43265.6114884259,35336,1,2,157,1.111111E-03,1205
43265.6115,35346,1.6,2,158,1.344444E-03,1877
43265.6115185185,35362,1,2,159,1.111111E-03,1060
43265.6115300926,35372,.7,2,160,9.944445E-04,812
43265.6115381944,35379,.7,2,161,9.944445E-04,813
43265.6115462963,35386,1,2,162,1.111111E-03,1182
43265.6115578704,35396,1,2,163,1.111111E-03,1269
43265.6115694444,35406,1,2,164,1.111111E-03,1239
43265.6115810185,35416,1,2,165,1.111111E-03,1005
43265.6115925926,35426,1.3,2,166,1.227778E-03,1297
43265.6116076389,35439,1,2,167,1.111111E-03,1230
43265.611619213,35449,.7,2,168,9.944445E-04,953
