HEADER_TIME_STAMP,X,Y,Z
2018-06-14 14:24:46.852,0.023,-0.002,1.001
2018-06-14 14:24:46.872,0.025,0.000,0.996
2018-06-14 14:24:46.892,0.024,0.000,1.003
2018-06-14 14:24:46.912,0.021,-0.001,0.995
2018-06-14 14:24:46.933,0.023,-0.003,1.000
2018-06-14 14:24:46.953,0.022,0.001,0.996
2018-06-14 14:24:46.973,0.021,0.002,0.996
2018-06-14 14:24:46.993,0.023,0.001,0.997
2018-06-14 14:24:47.013,0.024,-0.004,0.994
2018-06-14 14:24:47.033,0.023,-0.001,0.998
2018-06-14 14:24:47.053,0.022,0.002,0.997
2018-06-14 14:24:47.074,0.023,0.002,1.001
2018-06-14 14:24:47.094,0.022,-0.002,1.005
2018-06-14 14:24:47.114,0.024,0.000,1.000
2018-06-14 14:24:47.134,0.021,-0.000,0.999
2018-06-14 14:24:47.154,0.024,-0.001,0.999
2018-06-14 14:24:47.174,0.022,-0.000,0.998
2018-06-14 14:24:47.194,0.021,0.000,1.000
2018-06-14 14:24:47.215,0.021,-0.001,0.998
2018-06-14 14:24:47.235,0.024,0.003,0.999
2018-06-14 14:24:47.255,0.022,-0.001,0.999
2018-06-14 14:24:47.275,0.022,-0.002,1.002
2018-06-14 14:24:47.295,0.023,0.000,0.999
2018-06-14 14:24:47.315,0.024,-0.001,1.000
2018-06-14 14:24:47.335,0.024,0.002,0.999
2018-06-14 14:24:47.356,0.023,-0.002,1.000
2018-06-14 14:24:47.376,0.024,0.002,1.001
2018-06-14 14:24:47.396,0.024,0.001,0.997
2018-06-14 14:24:47.416,0.021,0.000,1.001
2018-06-14 14:24:47.436,0.020,-0.001,0.997
2018-06-14 14:24:47.456,0.024,-0.001,0.997
2018-06-14 14:24:47.476,0.023,0.000,0.996
2018-06-14 14:24:47.497,0.025,-0.000,0.995
2018-06-14 14:24:47.517,0.022,0.000,1.000
2018-06-14 14:24:47.537,0.022,-0.000,1.004
2018-06-14 14:24:47.557,0.024,-0.003,0.996
2018-06-14 14:24:47.577,0.025,-0.000,1.000
2018-06-14 14:24:47.597,0.022,0.000,0.995
2018-06-14 14:24:47.617,0.023,-0.003,0.997
2018-06-14 14:24:47.638,0.021,-0.003,1.000
2018-06-14 14:24:47.658,0.023,-0.002,1.002
2018-06-14 14:24:47.678,0.024,-0.001,0.999
2018-06-14 14:24:47.698,0.022,0.002,0.997
2018-06-14 14:24:47.718,0.022,-0.004,1.001
2018-06-14 14:24:47.738,0.022,0.002,0.999
2018-06-14 14:24:47.758,0.023,0.001,1.000
2018-06-14 14:24:47.778,0.022,0.000,0.997
2018-06-14 14:24:47.799,0.023,0.001,0.997
2018-06-14 14:24:47.819,0.024,-0.001,0.996
2018-06-14 14:24:47.839,0.026,0.001,0.999
2018-06-14 14:24:47.859,0.024,-0.000,0.999
2018-06-14 14:24:47.879,0.025,-0.002,0.997
2018-06-14 14:24:47.899,0.025,-0.002,0.998
2018-06-14 14:24:47.920,0.023,-0.000,0.995
2018-06-14 14:24:47.940,0.025,0.001,1.000
2018-06-14 14:24:47.960,0.024,0.000,1.000
2018-06-14 14:24:47.980,0.022,0.001,0.999
2018-06-14 14:24:48.000,0.024,-0.000,1.001
2018-06-14 14:24:48.020,0.023,0.002,1.002
2018-06-14 14:24:48.040,0.020,-0.002,0.998
2018-06-14 14:24:48.061,0.025,0.001,0.998
2018-06-14 14:24:48.081,0.027,0.002,0.997
2018-06-14 14:24:48.101,0.021,0.000,1.001
2018-06-14 14:24:48.121,0.022,-0.001,0.997
2018-06-14 14:24:48.141,0.021,-0.002,1.000
2018-06-14 14:24:48.161,0.024,0.002,1.000
2018-06-14 14:24:48.181,0.022,0.001,0.998
2018-06-14 14:24:48.201,0.023,0.000,0.997
2018-06-14 14:24:48.222,0.025,0.000,0.999
2018-06-14 14:24:48.242,0.024,-0.001,0.996
2018-06-14 14:24:48.262,0.022,-0.001,0.997
2018-06-14 14:24:48.282,0.021,-0.001,0.998
2018-06-14 14:24:48.302,0.024,0.001,1.002
2018-06-14 14:24:48.322,0.025,-0.002,1.000
2018-06-14 14:24:48.343,0.023,0.002,0.997
2018-06-14 14:24:48.363,0.023,-0.001,1.000
2018-06-14 14:24:48.383,0.024,0.001,0.999
2018-06-14 14:24:48.403,0.023,0.000,1.003
2018-06-14 14:24:48.423,0.023,0.001,0.998
2018-06-14 14:24:48.443,0.025,0.003,1.004
2018-06-14 14:24:48.463,0.025,0.001,0.999
2018-06-14 14:24:48.483,0.024,-0.001,0.996
2018-06-14 14:24:48.504,0.020,-0.000,0.998
2018-06-14 14:24:48.524,0.023,-0.001,0.994
2018-06-14 14:24:48.544,0.024,0.000,1.002
2018-06-14 14:24:48.564,0.025,0.001,0.999
2018-06-14 14:24:48.584,0.022,0.001,1.000
2018-06-14 14:24:48.604,0.021,-0.001,0.996
2018-06-14 14:24:48.624,0.021,-0.002,0.995
2018-06-14 14:24:48.645,0.022,-0.003,0.999
2018-06-14 14:24:48.665,0.023,-0.002,0.998
2018-06-14 14:24:48.685,0.025,0.002,0.999
2018-06-14 14:24:48.705,0.025,-0.001,1.001
2018-06-14 14:24:48.725,0.025,0.000,0.998
2018-06-14 14:24:48.745,0.021,-0.000,0.994
2018-06-14 14:24:48.765,0.021,0.002,1.000
2018-06-14 14:24:48.786,0.024,-0.000,0.999
2018-06-14 14:24:48.806,0.024,-0.000,0.996
2018-06-14 14:24:48.826,0.023,-0.001,0.999
2018-06-14 14:24:48.846,0.024,0.000,1.000
2018-06-14 14:24:48.866,0.024,-0.001,0.997
2018-06-14 14:24:48.886,0.021,-0.000,0.997
2018-06-14 14:24:48.907,0.024,-0.000,0.996
2018-06-14 14:24:48.927,0.026,-0.003,1.000
2018-06-14 14:24:48.947,0.023,0.002,1.002
2018-06-14 14:24:48.967,0.022,-0.000,0.998
2018-06-14 14:24:48.987,0.023,0.000,1.001
2018-06-14 14:24:49.007,0.019,-0.000,0.997
2018-06-14 14:24:49.027,0.021,0.002,0.997
2018-06-14 14:24:49.048,0.023,0.000,0.999
2018-06-14 14:24:49.068,0.024,0.000,0.997
2018-06-14 14:24:49.088,0.021,0.001,0.996
2018-06-14 14:24:49.108,0.023,0.003,0.984
2018-06-14 14:24:49.128,0.022,-0.007,0.996
2018-06-14 14:24:49.148,0.022,0.001,1.002
2018-06-14 14:24:49.168,0.022,0.003,0.997
2018-06-14 14:24:49.189,0.020,0.000,1.007
2018-06-14 14:24:49.209,0.024,-0.003,1.003
2018-06-14 14:24:49.229,0.025,0.003,0.994
2018-06-14 14:24:49.249,0.025,-0.004,1.005
2018-06-14 14:24:49.269,0.021,-0.002,0.997
2018-06-14 14:24:49.289,0.025,0.001,0.996
2018-06-14 14:24:49.309,0.025,-0.002,1.000
2018-06-14 14:24:49.330,0.022,0.002,0.996
2018-06-14 14:24:49.350,0.021,-0.000,1.001
2018-06-14 14:24:49.370,0.021,-0.003,1.000
2018-06-14 14:24:49.390,0.024,0.001,0.994
2018-06-14 14:24:49.410,0.023,-0.002,0.998
2018-06-14 14:24:49.430,0.021,-0.002,0.999
2018-06-14 14:24:49.451,0.021,-0.001,0.999
2018-06-14 14:24:49.471,0.024,-0.002,1.000
2018-06-14 14:24:49.491,0.024,0.003,0.996
2018-06-14 14:24:49.511,0.025,0.001,1.003
