HEADER_TIME_STAMP,ENMO
2018-06-14 13:41:39.050,0.011
2018-06-14 13:41:44.050,0.009
2018-06-14 13:41:49.050,0.009
2018-06-14 13:41:54.050,0.009
2018-06-14 13:41:59.050,0.009
2018-06-14 13:42:04.050,0.009
2018-06-14 13:42:09.050,0.009
2018-06-14 13:42:14.050,0.009
2018-06-14 13:42:19.050,0.009
2018-06-14 13:42:24.050,0.009
2018-06-14 13:42:29.050,0.009
2018-06-14 13:42:34.050,0.009
2018-06-14 13:42:39.050,0.009
2018-06-14 13:42:44.050,0.009
2018-06-14 13:42:49.050,0.009
2018-06-14 13:42:54.050,0.012
2018-06-14 13:42:59.050,0.016
2018-06-14 13:43:04.050,0.016
2018-06-14 13:43:09.050,0.016
2018-06-14 13:43:14.050,0.016
2018-06-14 13:43:19.050,0.014
2018-06-14 13:43:24.050,0.009
2018-06-14 13:43:29.050,0.009
2018-06-14 13:43:34.050,0.009
2018-06-14 13:43:39.050,0.009
2018-06-14 13:43:44.050,0.009
2018-06-14 13:43:49.050,0.009
2018-06-14 13:43:54.050,0.020
2018-06-14 13:43:59.050,0.023
2018-06-14 13:44:04.050,0.012
2018-06-14 13:44:09.050,0.002
2018-06-14 13:44:14.050,0.019
2018-06-14 13:44:19.050,0.014
2018-06-14 13:44:24.050,0.002
2018-06-14 13:44:29.050,0.009
2018-06-14 13:44:34.050,0.000
2018-06-14 13:44:39.050,0.000
2018-06-14 13:44:44.050,0.000
2018-06-14 13:44:49.050,0.000
2018-06-14 13:44:54.050,0.000
2018-06-14 13:44:59.050,0.000
2018-06-14 13:45:04.050,0.000
2018-06-14 13:45:09.050,0.000
2018-06-14 13:45:14.050,0.000
2018-06-14 13:45:19.050,0.000
2018-06-14 13:45:24.050,0.000
2018-06-14 13:45:29.050,0.000
2018-06-14 13:45:34.050,0.000
2018-06-14 13:45:39.050,0.000
2018-06-14 13:45:44.050,0.000
2018-06-14 13:45:49.050,0.000
2018-06-14 13:45:54.050,0.000
2018-06-14 13:45:59.050,0.000
2018-06-14 13:46:04.050,0.000
2018-06-14 13:46:09.050,0.000
2018-06-14 13:46:14.050,0.000
2018-06-14 13:46:19.050,0.000
2018-06-14 13:46:24.050,0.000
2018-06-14 13:46:29.050,0.000
2018-06-14 13:46:34.050,0.000
2018-06-14 13:46:39.050,0.000
2018-06-14 13:46:44.050,0.000
2018-06-14 13:46:49.050,0.000
2018-06-14 13:46:54.050,0.000
2018-06-14 13:46:59.050,0.000
2018-06-14 13:47:04.050,0.000
2018-06-14 13:47:09.050,0.000
2018-06-14 13:47:14.050,0.000
2018-06-14 13:47:19.050,0.000
2018-06-14 13:47:24.050,0.000
2018-06-14 13:47:29.050,0.000
2018-06-14 13:47:34.050,0.000
2018-06-14 13:47:39.050,0.000
2018-06-14 13:47:44.050,0.000
2018-06-14 13:47:49.050,0.000
2018-06-14 13:47:54.050,0.000
2018-06-14 13:47:59.050,0.000
2018-06-14 13:48:04.050,0.000
2018-06-14 13:48:09.050,0.000
2018-06-14 13:48:14.050,0.000
2018-06-14 13:48:19.050,0.000
2018-06-14 13:48:24.050,0.000
2018-06-14 13:48:29.050,0.000
2018-06-14 13:48:34.050,0.000
2018-06-14 13:48:39.050,0.000
2018-06-14 13:48:44.050,0.000
2018-06-14 13:48:49.050,0.000
2018-06-14 13:48:54.050,0.000
2018-06-14 13:48:59.050,0.000
2018-06-14 13:49:04.050,0.000
2018-06-14 13:49:09.050,0.000
2018-06-14 13:49:14.050,0.000
2018-06-14 13:49:19.050,0.000
2018-06-14 13:49:24.050,0.008
2018-06-14 13:49:29.050,0.008
2018-06-14 13:49:34.050,0.009
2018-06-14 13:49:39.050,0.009
2018-06-14 13:49:44.050,0.009
2018-06-14 13:49:49.050,0.009
2018-06-14 13:49:54.050,0.009
2018-06-14 13:49:59.050,0.009
2018-06-14 13:50:04.050,0.009
2018-06-14 13:50:09.050,0.009
2018-06-14 13:50:14.050,0.009
2018-06-14 13:50:19.050,0.009
2018-06-14 13:50:24.050,0.009
2018-06-14 13:50:29.050,0.009
2018-06-14 13:50:34.050,0.009
2018-06-14 13:50:39.050,0.009
2018-06-14 13:50:44.050,0.009
2018-06-14 13:50:49.050,0.016
2018-06-14 13:50:54.050,0.016
2018-06-14 13:50:59.050,0.013
2018-06-14 13:51:04.050,0.009
2018-06-14 13:51:09.050,0.009
2018-06-14 13:51:14.050,0.015
2018-06-14 13:51:19.050,0.016
2018-06-14 13:51:24.050,0.016
2018-06-14 13:51:29.050,0.016
2018-06-14 13:51:34.050,0.016
2018-06-14 13:51:39.050,0.011
2018-06-14 13:51:44.050,0.009
2018-06-14 13:51:49.050,0.027
2018-06-14 13:51:54.050,0.013
2018-06-14 13:51:59.050,0.006
2018-06-14 13:52:04.050,0.012
2018-06-14 13:52:09.050,0.018
2018-06-14 13:52:14.050,0.011
2018-06-14 13:52:19.050,0.011
2018-06-14 13:52:24.050,0.011
2018-06-14 13:52:29.050,0.014
2018-06-14 13:52:34.050,0.018
2018-06-14 13:52:39.050,0.022
2018-06-14 13:52:44.050,0.002
2018-06-14 13:52:49.050,0.004
2018-06-14 13:52:54.050,0.016
2018-06-14 13:52:59.050,0.016
2018-06-14 13:53:04.050,0.016
2018-06-14 13:53:09.050,0.016
