"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43265.5705902778,0,3384.3,0,0,1.175104,266284,255033,32518
43265.6097604167,33843,.8,1,0,3.111111E-04,666,620,49
43265.6097696759,33851,.9,2,1,1.072222E-03,876,877,50
43265.6097800926,33860,.8,2,2,1.033333E-03,971,874,42
43265.6097893519,33868,.8,2,3,1.033333E-03,1008,995,74
43265.6097986111,33876,1.1,2,4,.00115,1512,1458,108
43265.6098113426,33887,.7,2,5,9.944445E-04,1008,997,51
43265.6098194444,33894,.7,2,6,9.944445E-04,1008,1092,80
43265.6098275463,33901,.7,2,7,9.944445E-04,1008,1119,83
43265.6098356481,33908,.9,2,8,1.072222E-03,1512,1255,95
43265.6098460648,33917,.7,2,9,9.944445E-04,1008,1097,81
43265.6098541667,33924,.7,2,10,9.944445E-04,1008,1119,45
43265.6098622685,33931,1,2,11,1.111111E-03,1512,1526,95
43265.6098738426,33941,1.3,2,12,1.227778E-03,2016,1814,140
43265.6098888889,33954,.7,2,13,9.944445E-04,1008,1112,62
43265.6098969907,33961,.7,2,14,9.944445E-04,1008,1113,81
43265.6099050926,33968,1.3,2,15,1.227778E-03,2016,1945,111
43265.6099201389,33981,1.3,2,16,1.227778E-03,2016,1813,107
43265.6099351852,33994,.7,2,17,9.944445E-04,1008,1105,80
43265.609943287,34001,.7,2,18,9.944445E-04,1008,1126,66
43265.6099513889,34008,1,2,19,1.111111E-03,1512,1530,113
43265.609962963,34018,1,2,20,1.111111E-03,1512,1509,128
43265.609974537,34028,1.6,2,21,1.344444E-03,2517,2259,132
43265.6099930556,34044,1,2,22,1.111111E-03,1515,1524,123
43265.6100046296,34054,.7,2,23,9.944445E-04,1008,1115,77
43265.6100127315,34061,.7,2,24,9.944445E-04,1008,1112,79
43265.6100208333,34068,1,2,25,1.111111E-03,1512,1520,121
43265.6100324074,34078,1,2,26,1.111111E-03,1518,1506,60
43265.6100439815,34088,1.6,2,27,1.344444E-03,2514,2267,153
43265.6100625,34104,.7,2,28,9.944445E-04,1008,1098,68
43265.6100706018,34111,.7,2,29,9.944445E-04,1008,1125,74
43265.6100787037,34118,1,2,30,1.111111E-03,1512,1531,131
43265.6100902778,34128,1,2,31,1.111111E-03,1512,1509,79
43265.6101018519,34138,1.6,2,32,1.344444E-03,2511,2259,151
43265.6101203704,34154,.7,2,33,9.944445E-04,1017,1083,76
43265.6101284722,34161,.7,2,34,9.944445E-04,1008,1121,57
43265.6101365741,34168,1,2,35,1.111111E-03,1512,1537,125
43265.6101481481,34178,1,2,36,1.111111E-03,1512,1517,97
43265.6101597222,34188,1,2,37,1.111111E-03,1512,1395,89
43265.6101712963,34198,1,2,38,1.111111E-03,1512,1536,91
43265.6101828704,34208,1.3,2,39,1.227778E-03,2016,1937,149
43265.6101979167,34221,.7,2,40,9.944445E-04,1008,1119,43
43265.6102060185,34228,.7,2,41,9.944445E-04,1039,1050,78
43265.6102141204,34235,.9,2,42,1.072222E-03,1421,1255,61
43265.610224537,34244,.7,2,43,9.944445E-04,1068,1041,67
43265.6102326389,34251,.7,2,44,9.944445E-04,1008,1118,66
43265.6102407407,34258,.7,2,45,9.944445E-04,1008,1104,78
43265.6102488426,34265,1.3,2,46,1.227778E-03,2016,1959,123
43265.6102638889,34278,.7,2,47,9.944445E-04,1035,1053,84
43265.6102719907,34285,1.3,2,48,1.227778E-03,1989,1871,121
43265.610287037,34298,1,2,49,1.111111E-03,1512,1540,81
43265.6102986111,34308,.7,2,50,9.944445E-04,1008,1107,77
43265.610306713,34315,.9,2,51,1.072222E-03,1512,1258,90
43265.6103171296,34324,.7,2,52,9.944445E-04,1008,1107,95
43265.6103252315,34331,.7,2,53,9.944445E-04,1008,1117,73
43265.6103333333,34338,1,2,54,1.111111E-03,1512,1375,98
43265.6103449074,34348,1,2,55,1.111111E-03,1512,1531,97
43265.6103564815,34358,1,2,56,1.111111E-03,1512,1532,115
43265.6103680556,34368,1,2,57,1.111111E-03,1512,1538,117
43265.6103796296,34378,.7,2,58,9.944445E-04,1009,1084,71
43265.6103877315,34385,1.3,2,59,1.227778E-03,2015,1832,126
43265.6104027778,34398,1,2,60,1.111111E-03,1512,1533,105
43265.6104143519,34408,1,2,61,1.111111E-03,1512,1541,100
43265.6104259259,34418,1,2,62,1.111111E-03,1512,1524,105
43265.6104375,34428,.7,2,63,9.944445E-04,1008,1100,62
43265.6104456019,34435,1,2,64,1.111111E-03,1513,1506,89
