------------ Data File Created By Actigraph GT3X+ ActiLife v6.13.3 Firmware v1.6.0 date format M/d/yyyy at 20 Hz  Filter Nomral -----------
Serial Number: TAS1E00000000
Start Time 13:41:39
Start Date 06/14/2018
Epoch Period (hh:mm:ss) 00:00:00
Download Time 15:03:48
Download Date 06/14/2018
Current Memory Address 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
06/14/2018 13:41:39.049,-0.234,0.203,-1.078
06/14/2018 13:41:39.099,-0.047,0.078,-1.062
06/14/2018 13:41:39.150,-0.172,-0.016,-1.031
06/14/2018 13:41:39.200,-0.172,-0.094,-0.984
06/14/2018 13:41:39.250,-0.391,-0.219,-0.922
06/14/2018 13:41:39.299,-0.422,-0.547,-0.844
06/14/2018 13:41:39.349,-0.672,-0.281,-0.844
06/14/2018 13:41:39.398,-0.406,-0.469,-0.375
06/14/2018 13:41:39.448,-0.75,-0.656,-0.062
06/14/2018 13:41:39.499,-0.609,-0.422,0.453
06/14/2018 13:41:39.549,-0.359,-0.031,1.172
06/14/2018 13:41:39.598,-0.234,0.047,1.188
06/14/2018 13:41:39.648,-0.359,-0.312,1.359
06/14/2018 13:41:39.698,-0.203,-0.328,1.312
06/14/2018 13:41:39.749,-0.172,-0.547,1
06/14/2018 13:41:39.799,-0.156,-0.844,0.984
06/14/2018 13:41:39.848,0.188,-0.578,0.922
06/14/2018 13:41:39.898,0.062,0.062,1.141
06/14/2018 13:41:39.948,0.047,0.047,1.125
06/14/2018 13:41:39.999,0.062,0.047,1.141
06/14/2018 13:41:40.049,0.047,0.047,1.125
06/14/2018 13:41:40.098,0.062,0.047,1.125
06/14/2018 13:41:40.148,0.062,0.047,1.125
06/14/2018 13:41:40.198,0.062,0.047,1.125
06/14/2018 13:41:40.249,0.062,0.047,1.125
06/14/2018 13:41:40.299,0.062,0.047,1.141
06/14/2018 13:41:40.348,0.062,0.047,1.125
06/14/2018 13:41:40.398,0.047,0.047,1.141
06/14/2018 13:41:40.448,0.062,0.047,1.125
06/14/2018 13:41:40.499,0.062,0.047,1.125
06/14/2018 13:41:40.549,0.062,0.047,1.125
06/14/2018 13:41:40.598,0.047,0.047,1.125
06/14/2018 13:41:40.648,0.062,0.047,1.125
06/14/2018 13:41:40.698,0.047,0.047,1.125
06/14/2018 13:41:40.749,0.062,0.047,1.141
06/14/2018 13:41:40.799,0.062,0.047,1.125
06/14/2018 13:41:40.848,0.062,0.047,1.125
06/14/2018 13:41:40.898,0.062,0.047,1.125
06/14/2018 13:41:40.948,0.062,0.047,1.125
06/14/2018 13:41:40.999,0.062,0.047,1.125
06/14/2018 13:41:41.049,0.062,0.047,1.125
06/14/2018 13:41:41.098,0.062,0.047,1.125
06/14/2018 13:41:41.148,0.062,0.047,1.125
06/14/2018 13:41:41.198,0.062,0.047,1.125
06/14/2018 13:41:41.249,0.062,0.047,1.125
06/14/2018 13:41:41.299,0.062,0.047,1.125
06/14/2018 13:41:41.348,0.062,0.047,1.125
06/14/2018 13:41:41.398,0.062,0.047,1.125
06/14/2018 13:41:41.448,0.062,0.047,1.125
06/14/2018 13:41:41.499,0.062,0.047,1.125
06/14/2018 13:41:41.549,0.062,0.047,1.125
06/14/2018 13:41:41.598,0.062,0.047,1.125
06/14/2018 13:41:41.648,0.062,0.047,1.125
06/14/2018 13:41:41.698,0.062,0.047,1.125
06/14/2018 13:41:41.749,0.062,0.047,1.125
06/14/2018 13:41:41.799,0.062,0.047,1.125
06/14/2018 13:41:41.848,0.062,0.047,1.125
06/14/2018 13:41:41.898,0.062,0.047,1.125
06/14/2018 13:41:41.948,0.062,0.047,1.125
06/14/2018 13:41:41.999,0.062,0.047,1.125
06/14/2018 13:41:42.049,0.062,0.047,1.125
06/14/2018 13:41:42.098,0.062,0.047,1.125
06/14/2018 13:41:42.148,0.062,0.047,1.125
06/14/2018 13:41:42.198,0.062,0.047,1.125
06/14/2018 13:41:42.249,0.062,0.047,1.125
06/14/2018 13:41:42.299,0.062,0.047,1.125
06/14/2018 13:41:42.348,0.062,0.047,1.125
06/14/2018 13:41:42.398,0.062,0.047,1.125
06/14/2018 13:41:42.448,0.062,0.047,1.125
06/14/2018 13:41:42.499,0.062,0.047,1.125
06/14/2018 13:41:42.549,0.062,0.047,1.125
06/14/2018 13:41:42.598,0.062,0.047,1.125
06/14/2018 13:41:42.648,0.062,0.047,1.125
06/14/2018 13:41:42.698,0.062,0.047,1.125
06/14/2018 13:41:42.749,0.062,0.047,1.125
