Time,enmoTrunc,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2018-06-14 11:27:00.000,0.000000,0.015019,0.019782,0.992327,0.001893,0.002388,0.004116,0.00,500,0,0,0,200
2018-06-14 11:27:05.000,0.000000,0.012015,0.016784,0.992327,0.001778,0.001907,0.004048,0.00,500,0,0,0,200
2018-06-14 11:27:10.000,0.000000,0.012015,0.016784,0.992327,0.001805,0.001561,0.004089,0.00,500,0,0,0,200
2018-06-14 11:27:15.000,0.000000,0.010814,0.016784,0.992327,0.001485,0.001839,0.004094,0.00,500,0,0,0,200
2018-06-14 11:27:20.000,0.000000,0.012015,0.016784,0.992327,0.001853,0.002000,0.004116,0.00,500,0,0,0,200
2018-06-14 11:27:25.000,0.000000,0.012015,0.016784,0.996534,0.001648,0.001711,0.004094,0.00,500,0,0,0,200
2018-06-14 11:27:30.000,0.000000,0.012015,0.016784,0.996534,0.001690,0.001738,0.004155,0.00,500,0,0,0,200
2018-06-14 11:27:35.000,0.000000,0.012015,0.016784,0.992327,0.001697,0.001984,0.004135,0.00,500,0,0,0,200
2018-06-14 11:27:40.000,0.000000,0.010213,0.016784,0.992327,0.001463,0.001588,0.004110,0.00,500,0,0,0,200
2018-06-14 11:27:45.000,0.000000,0.012015,0.016784,0.992327,0.001595,0.001770,0.004155,0.00,500,0,0,0,200
2018-06-14 11:27:50.000,0.000000,0.012015,0.016784,0.992327,0.001595,0.001654,0.004084,0.00,500,0,0,0,200
2018-06-14 11:27:55.000,0.000000,0.012616,0.016784,0.997135,0.001648,0.001708,0.004159,0.00,500,0,0,0,200
2018-06-14 11:28:00.000,0.000000,0.012015,0.016784,0.997135,0.001684,0.001683,0.004175,0.00,500,0,0,0,200
2018-06-14 11:28:05.000,0.000000,0.012015,0.016784,0.996534,0.001692,0.001862,0.004164,0.00,500,0,0,0,200
2018-06-14 11:28:10.000,0.000000,0.006008,0.016784,0.992327,0.001373,0.002129,0.004118,0.00,500,0,0,0,200
2018-06-14 11:28:15.000,0.000000,0.010213,0.016784,0.992327,0.001554,0.001895,0.004104,0.00,500,0,0,0,200
2018-06-14 11:28:20.000,0.000000,0.012015,0.016784,0.992327,0.001660,0.001761,0.004126,0.00,500,0,0,0,200
2018-06-14 11:28:25.000,0.000000,0.010213,0.016784,0.992327,0.001415,0.001614,0.004135,0.00,500,0,0,0,200
2018-06-14 11:28:30.000,0.000000,0.012015,0.016784,0.992327,0.001552,0.001585,0.004153,0.00,500,0,0,0,200
2018-06-14 11:28:35.000,0.000000,0.010814,0.016784,0.992327,0.001439,0.002023,0.004155,0.00,500,0,0,0,200
2018-06-14 11:28:40.000,0.000000,0.012015,0.016784,0.992327,0.001630,0.001591,0.004138,0.00,500,0,0,0,200
2018-06-14 11:28:45.000,0.000000,0.012015,0.016784,0.996534,0.001728,0.001745,0.004206,0.00,500,0,0,0,200
2018-06-14 11:28:50.000,0.000000,0.006008,0.015585,0.998336,0.001344,0.001454,0.004179,0.00,500,0,0,0,200
2018-06-14 11:28:55.000,0.000000,0.006008,0.016784,0.998336,0.001469,0.001639,0.004197,0.00,500,0,0,0,200
2018-06-14 11:29:00.000,0.000000,0.006008,0.016784,0.998336,0.001440,0.001618,0.004223,0.00,500,0,0,0,200
2018-06-14 11:29:05.000,0.000000,0.006008,0.016784,0.998336,0.001438,0.001797,0.004171,0.00,500,0,0,0,200
2018-06-14 11:29:10.000,0.000000,0.012015,0.016784,0.998336,0.001471,0.001659,0.004244,0.00,500,0,0,0,200
2018-06-14 11:29:15.000,0.000000,0.006008,0.016784,0.998336,0.001456,0.001736,0.004261,0.00,500,0,0,0,200
2018-06-14 11:29:20.000,0.000000,0.012015,0.016784,0.998336,0.001461,0.001777,0.004207,0.00,500,0,0,0,200
2018-06-14 11:29:25.000,0.000000,0.006008,0.016784,0.997135,0.001410,0.001456,0.004188,0.00,500,0,0,0,200
2018-06-14 11:29:30.000,0.000000,0.006008,0.016784,0.998336,0.001469,0.001851,0.004288,0.00,500,0,0,0,200
2018-06-14 11:29:35.000,0.000000,0.012015,0.016784,0.997135,0.001566,0.001659,0.004206,0.00,500,0,0,0,200
2018-06-14 11:29:40.000,0.000000,0.010213,0.015585,0.998336,0.001574,0.001599,0.004238,0.00,500,0,0,0,200
2018-06-14 11:29:45.000,0.000000,0.006008,0.015585,0.998336,0.001411,0.001409,0.004196,0.00,500,0,0,0,200
2018-06-14 11:29:50.000,0.000000,0.006008,0.016784,0.998336,0.001439,0.001465,0.004215,0.00,500,0,0,0,200
2018-06-14 11:29:55.000,0.000000,0.006008,0.016784,0.997135,0.001419,0.001727,0.004199,0.00,500,0,0,0,200
2018-06-14 11:30:00.000,0.000000,0.006008,0.015585,0.998336,0.001528,0.001542,0.004248,0.00,500,0,0,0,200
2018-06-14 11:30:05.000,0.000000,0.013217,0.016784,0.998336,0.001634,0.001728,0.004232,0.00,500,0,0,0,200
2018-06-14 11:30:10.000,0.000000,0.008411,0.014985,0.992327,0.001525,0.001538,0.004159,0.00,500,0,0,0,200
2018-06-14 11:30:15.000,0.000000,0.009012,0.016784,0.998336,0.001552,0.001710,0.004278,0.00,500,0,0,0,200
2018-06-14 11:30:20.000,0.000000,0.009012,0.014985,0.998336,0.001525,0.001448,0.004236,0.00,500,0,0,0,200
2018-06-14 11:30:25.000,0.000000,0.009012,0.016784,0.998336,0.001364,0.001757,0.004239,0.00,500,0,0,0,200
2018-06-14 11:30:30.000,0.000000,0.009012,0.016784,0.999538,0.001481,0.001732,0.004330,0.00,500,0,0,0,200
2018-06-14 11:30:35.000,0.000000,0.009012,0.016784,0.998336,0.001372,0.001546,0.004314,0.00,500,0,0,0,200
2018-06-14 11:30:40.000,0.000000,0.009012,0.016784,0.998336,0.001479,0.001647,0.004330,0.00,500,0,0,0,200
2018-06-14 11:30:45.000,0.000000,0.013818,0.016784,0.998336,0.001732,0.001645,0.004289,0.00,500,0,0,0,200
2018-06-14 11:30:50.000,0.000000,0.007810,0.016784,0.998336,0.001451,0.001608,0.004282,0.00,500,0,0,0,200
2018-06-14 11:30:55.000,0.000000,0.007810,0.016784,0.998336,0.001509,0.001603,0.004342,0.00,500,0,0,0,200
2018-06-14 11:31:00.000,0.000000,0.007810,0.010788,0.999538,0.001466,0.001437,0.004341,0.00,500,0,0,0,200
2018-06-14 11:31:05.000,0.000000,0.009012,0.016784,0.998336,0.001646,0.001643,0.004300,0.00,500,0,0,0,200
2018-06-14 11:31:10.000,0.000000,0.006008,0.010788,0.998336,0.001477,0.001322,0.004342,0.00,500,0,0,0,200
2018-06-14 11:31:15.000,0.000000,0.006008,0.016784,0.998336,0.001292,0.001685,0.004290,0.00,500,0,0,0,200
2018-06-14 11:31:20.000,0.000000,0.006008,0.014985,0.998336,0.001410,0.001562,0.004305,0.00,500,0,0,0,200
2018-06-14 11:31:25.000,0.000000,0.006008,0.016784,0.998336,0.001513,0.001650,0.004282,0.00,500,0,0,0,200
2018-06-14 11:31:30.000,0.000000,0.006008,0.015585,0.998336,0.001506,0.001634,0.004345,0.00,500,0,0,0,200
2018-06-14 11:31:35.000,0.000000,0.009012,0.016784,0.998336,0.001454,0.001614,0.004380,0.00,500,0,0,0,200
2018-06-14 11:31:40.000,0.000000,0.015019,0.016784,0.998336,0.001660,0.001595,0.004275,0.00,500,0,0,0,200
2018-06-14 11:31:45.000,0.000000,0.008411,0.016784,0.998336,0.001458,0.001729,0.004238,0.00,500,0,0,0,200
2018-06-14 11:31:50.000,0.000000,0.009012,0.016784,0.998336,0.001570,0.001655,0.004305,0.00,500,0,0,0,200
2018-06-14 11:31:55.000,0.000000,0.009012,0.014985,0.998336,0.001489,0.001520,0.004386,0.00,500,0,0,0,200
2018-06-14 11:32:00.000,0.000000,0.008411,0.016784,0.998336,0.001445,0.001558,0.004327,0.00,500,0,0,0,200
