HEADER_TIME_STAMP,ENMO
2018-06-14 14:24:57.628,0.009
2018-06-14 14:25:02.628,0.009
2018-06-14 14:25:07.628,0.009
2018-06-14 14:25:12.628,0.010
2018-06-14 14:25:17.628,0.041
2018-06-14 14:25:22.628,0.059
2018-06-14 14:25:27.628,0.058
2018-06-14 14:25:32.628,0.058
2018-06-14 14:25:37.628,0.058
2018-06-14 14:25:42.628,0.058
2018-06-14 14:25:47.628,0.058
2018-06-14 14:25:52.628,0.059
2018-06-14 14:25:57.628,0.059
2018-06-14 14:26:02.628,0.057
2018-06-14 14:26:07.628,0.058
2018-06-14 14:26:12.628,0.058
2018-06-14 14:26:17.628,0.058
2018-06-14 14:26:22.628,0.058
2018-06-14 14:26:27.628,0.058
2018-06-14 14:26:32.628,0.059
2018-06-14 14:26:37.628,0.058
2018-06-14 14:26:42.628,0.058
2018-06-14 14:26:47.628,0.057
2018-06-14 14:26:52.628,0.057
2018-06-14 14:26:57.628,0.057
2018-06-14 14:27:02.628,0.059
2018-06-14 14:27:07.628,0.058
2018-06-14 14:27:12.628,0.058
2018-06-14 14:27:17.628,0.057
2018-06-14 14:27:22.628,0.058
2018-06-14 14:27:27.628,0.058
2018-06-14 14:27:32.628,0.059
2018-06-14 14:27:37.628,0.058
2018-06-14 14:27:42.628,0.059
2018-06-14 14:27:47.628,0.059
2018-06-14 14:27:52.628,0.059
2018-06-14 14:27:57.628,0.058
2018-06-14 14:28:02.628,0.058
2018-06-14 14:28:07.628,0.060
2018-06-14 14:28:12.628,0.058
2018-06-14 14:28:17.628,0.060
2018-06-14 14:28:22.628,0.058
2018-06-14 14:28:27.628,0.026
2018-06-14 14:28:32.628,0.009
2018-06-14 14:28:37.628,0.009
2018-06-14 14:28:42.628,0.008
2018-06-14 14:28:47.628,0.008
2018-06-14 14:28:52.628,0.010
2018-06-14 14:28:57.628,0.067
2018-06-14 14:29:02.628,0.435
2018-06-14 14:29:07.628,0.615
2018-06-14 14:29:12.628,0.618
2018-06-14 14:29:17.628,0.616
2018-06-14 14:29:22.628,0.617
2018-06-14 14:29:27.628,0.616
2018-06-14 14:29:32.628,0.618
2018-06-14 14:29:37.628,0.615
2018-06-14 14:29:42.628,0.615
2018-06-14 14:29:47.628,0.617
2018-06-14 14:29:52.628,0.615
2018-06-14 14:29:57.628,0.614
2018-06-14 14:30:02.628,0.616
2018-06-14 14:30:07.628,0.613
2018-06-14 14:30:12.628,0.617
2018-06-14 14:30:17.628,0.615
2018-06-14 14:30:22.628,0.618
2018-06-14 14:30:27.628,0.616
2018-06-14 14:30:32.628,0.613
2018-06-14 14:30:37.628,0.617
2018-06-14 14:30:42.628,0.613
2018-06-14 14:30:47.628,0.616
2018-06-14 14:30:52.628,0.616
2018-06-14 14:30:57.628,0.614
2018-06-14 14:31:02.628,0.615
2018-06-14 14:31:07.628,0.615
2018-06-14 14:31:12.628,0.615
2018-06-14 14:31:17.628,0.614
2018-06-14 14:31:22.628,0.616
2018-06-14 14:31:27.628,0.617
2018-06-14 14:31:32.628,0.614
2018-06-14 14:31:37.628,0.617
2018-06-14 14:31:42.628,0.618
2018-06-14 14:31:47.628,0.617
2018-06-14 14:31:52.628,0.615
2018-06-14 14:31:57.628,0.106
2018-06-14 14:32:02.628,0.009
2018-06-14 14:32:07.628,0.009
2018-06-14 14:32:12.628,0.011
2018-06-14 14:32:17.628,0.008
2018-06-14 14:32:22.628,0.008
2018-06-14 14:32:27.628,0.008
2018-06-14 14:32:32.628,0.008
2018-06-14 14:32:37.628,0.009
2018-06-14 14:32:42.628,0.011
2018-06-14 14:32:47.628,0.012
2018-06-14 14:32:52.628,0.009
2018-06-14 14:32:57.628,0.009
2018-06-14 14:33:02.628,0.008
2018-06-14 14:33:07.628,0.010
2018-06-14 14:33:12.628,0.008
2018-06-14 14:33:17.628,0.027
2018-06-14 14:33:22.628,0.254
2018-06-14 14:33:27.628,0.611
2018-06-14 14:33:32.628,0.615
2018-06-14 14:33:37.628,0.615
2018-06-14 14:33:42.628,0.617
2018-06-14 14:33:47.628,0.616
2018-06-14 14:33:52.628,0.615
2018-06-14 14:33:57.628,0.617
2018-06-14 14:34:02.628,0.617
2018-06-14 14:34:07.628,0.617
2018-06-14 14:34:12.628,0.617
2018-06-14 14:34:17.628,0.618
2018-06-14 14:34:22.628,0.617
2018-06-14 14:34:27.628,0.615
2018-06-14 14:34:32.628,0.612
2018-06-14 14:34:37.628,0.617
2018-06-14 14:34:42.628,0.617
2018-06-14 14:34:47.628,0.615
2018-06-14 14:34:52.628,0.615
2018-06-14 14:34:57.628,0.616
2018-06-14 14:35:02.628,0.617
2018-06-14 14:35:07.628,0.618
2018-06-14 14:35:12.628,0.617
2018-06-14 14:35:17.628,0.616
2018-06-14 14:35:22.628,0.616
2018-06-14 14:35:27.628,0.614
2018-06-14 14:35:32.628,0.616
2018-06-14 14:35:37.628,0.618
2018-06-14 14:35:42.628,0.615
2018-06-14 14:35:47.628,0.614
2018-06-14 14:35:52.628,0.614
2018-06-14 14:35:57.628,0.617
2018-06-14 14:36:02.628,0.616
2018-06-14 14:36:07.628,0.616
2018-06-14 14:36:12.628,0.613
2018-06-14 14:36:17.628,0.071
2018-06-14 14:36:22.628,0.010
2018-06-14 14:36:27.628,0.013
