HEADER_TIME_STAMP,X,Y,Z
1970-01-03 10:54:51.393,0.036,-0.024,1.035
1970-01-03 10:54:51.409,0.019,-0.017,1.000
1970-01-03 10:54:51.425,0.011,-0.011,0.965
1970-01-03 10:54:51.442,0.042,-0.030,1.051
1970-01-03 10:54:51.452,0.029,-0.022,1.008
1970-01-03 10:54:51.462,0.013,-0.018,0.975
1970-01-03 10:54:51.472,0.035,-0.025,1.044
1970-01-03 10:54:51.482,0.025,-0.022,1.009
1970-01-03 10:54:51.492,0.011,-0.011,0.981
1970-01-03 10:54:51.502,0.035,-0.025,1.041
1970-01-03 10:54:51.512,0.020,-0.018,0.996
1970-01-03 10:54:51.522,0.017,-0.019,0.997
1970-01-03 10:54:51.532,0.036,-0.025,1.034
1970-01-03 10:54:51.542,0.019,-0.019,0.989
1970-01-03 10:54:51.552,0.019,-0.019,0.995
1970-01-03 10:54:51.562,0.036,-0.024,1.036
1970-01-03 10:54:51.572,0.017,-0.017,0.988
1970-01-03 10:54:51.582,0.023,-0.018,1.003
1970-01-03 10:54:51.592,0.031,-0.025,1.032
1970-01-03 10:54:51.602,0.017,-0.016,0.985
1970-01-03 10:54:51.612,0.021,-0.023,1.012
1970-01-03 10:54:51.622,0.032,-0.019,1.021
1970-01-03 10:54:51.632,0.020,-0.017,0.989
1970-01-03 10:54:51.642,0.025,-0.023,1.017
1970-01-03 10:54:51.652,0.029,-0.016,1.020
1970-01-03 10:54:51.662,0.019,-0.018,0.989
1970-01-03 10:54:51.672,0.024,-0.020,1.025
1970-01-03 10:54:51.682,0.027,-0.024,1.009
1970-01-03 10:54:51.692,0.018,-0.018,0.995
1970-01-03 10:54:51.702,0.029,-0.021,1.023
1970-01-03 10:54:51.712,0.027,-0.024,1.014
1970-01-03 10:54:51.722,0.022,-0.018,0.996
1970-01-03 10:54:51.732,0.030,-0.022,1.019
1970-01-03 10:54:51.742,0.023,-0.019,1.010
1970-01-03 10:54:51.752,0.022,-0.019,1.000
1970-01-03 10:54:51.762,0.027,-0.020,1.023
1970-01-03 10:54:51.772,0.021,-0.017,1.003
1970-01-03 10:54:51.782,0.021,-0.019,1.001
1970-01-03 10:54:51.792,0.023,-0.023,1.027
1970-01-03 10:54:51.802,0.022,-0.020,1.005
