HEADER_TIME_STAMP,ENMO
2018-06-14 14:24:46.214,0.000
2018-06-14 14:24:51.214,0.000
2018-06-14 14:24:56.214,0.000
2018-06-14 14:25:01.214,0.000
2018-06-14 14:25:06.214,0.000
2018-06-14 14:25:11.214,0.001
2018-06-14 14:25:16.214,0.029
2018-06-14 14:25:21.214,0.047
2018-06-14 14:25:26.214,0.048
2018-06-14 14:25:31.214,0.046
2018-06-14 14:25:36.214,0.049
2018-06-14 14:25:41.214,0.051
2018-06-14 14:25:46.214,0.046
2018-06-14 14:25:51.214,0.049
2018-06-14 14:25:56.214,0.049
2018-06-14 14:26:01.214,0.044
2018-06-14 14:26:06.214,0.051
2018-06-14 14:26:11.214,0.047
2018-06-14 14:26:16.214,0.047
2018-06-14 14:26:21.214,0.048
2018-06-14 14:26:26.214,0.045
2018-06-14 14:26:31.214,0.050
2018-06-14 14:26:36.214,0.046
2018-06-14 14:26:41.214,0.046
2018-06-14 14:26:46.214,0.049
2018-06-14 14:26:51.214,0.048
2018-06-14 14:26:56.214,0.046
2018-06-14 14:27:01.214,0.053
2018-06-14 14:27:06.214,0.047
2018-06-14 14:27:11.214,0.048
2018-06-14 14:27:16.214,0.046
2018-06-14 14:27:21.214,0.048
2018-06-14 14:27:26.214,0.046
2018-06-14 14:27:31.214,0.047
2018-06-14 14:27:36.214,0.049
2018-06-14 14:27:41.214,0.042
2018-06-14 14:27:46.214,0.046
2018-06-14 14:27:51.214,0.043
2018-06-14 14:27:56.214,0.046
2018-06-14 14:28:01.214,0.048
2018-06-14 14:28:06.214,0.043
2018-06-14 14:28:11.214,0.043
2018-06-14 14:28:16.214,0.050
2018-06-14 14:28:21.214,0.045
2018-06-14 14:28:26.214,0.019
2018-06-14 14:28:31.214,0.002
2018-06-14 14:28:36.214,0.000
2018-06-14 14:28:41.214,0.000
2018-06-14 14:28:46.214,0.000
2018-06-14 14:28:51.214,0.002
2018-06-14 14:28:56.214,0.072
2018-06-14 14:29:01.214,0.442
2018-06-14 14:29:06.214,0.668
2018-06-14 14:29:11.214,0.651
2018-06-14 14:29:16.214,0.659
2018-06-14 14:29:21.214,0.659
2018-06-14 14:29:26.214,0.662
2018-06-14 14:29:31.214,0.675
2018-06-14 14:29:36.214,0.662
2018-06-14 14:29:41.214,0.665
2018-06-14 14:29:46.214,0.665
2018-06-14 14:29:51.214,0.670
2018-06-14 14:29:56.214,0.659
2018-06-14 14:30:01.214,0.650
2018-06-14 14:30:06.214,0.653
2018-06-14 14:30:11.214,0.644
2018-06-14 14:30:16.214,0.641
2018-06-14 14:30:21.214,0.640
2018-06-14 14:30:26.214,0.640
2018-06-14 14:30:31.214,0.647
2018-06-14 14:30:36.214,0.639
2018-06-14 14:30:41.214,0.640
2018-06-14 14:30:46.214,0.654
2018-06-14 14:30:51.214,0.655
2018-06-14 14:30:56.214,0.667
2018-06-14 14:31:01.214,0.673
2018-06-14 14:31:06.214,0.668
2018-06-14 14:31:11.214,0.669
2018-06-14 14:31:16.214,0.665
2018-06-14 14:31:21.214,0.649
2018-06-14 14:31:26.214,0.639
2018-06-14 14:31:31.214,0.646
2018-06-14 14:31:36.214,0.654
2018-06-14 14:31:41.214,0.645
2018-06-14 14:31:46.214,0.655
2018-06-14 14:31:51.214,0.658
2018-06-14 14:31:56.214,0.124
2018-06-14 14:32:01.214,0.001
2018-06-14 14:32:06.214,0.000
2018-06-14 14:32:11.214,0.007
2018-06-14 14:32:16.214,0.002
2018-06-14 14:32:21.214,0.000
2018-06-14 14:32:26.214,0.000
2018-06-14 14:32:31.214,0.000
2018-06-14 14:32:36.214,0.001
2018-06-14 14:32:41.214,0.001
2018-06-14 14:32:46.214,0.011
2018-06-14 14:32:51.214,0.000
2018-06-14 14:32:56.214,0.000
2018-06-14 14:33:01.214,0.000
2018-06-14 14:33:06.214,0.001
2018-06-14 14:33:11.214,0.000
2018-06-14 14:33:16.214,0.016
2018-06-14 14:33:21.214,0.246
2018-06-14 14:33:26.214,0.644
2018-06-14 14:33:31.214,0.660
2018-06-14 14:33:36.214,0.646
2018-06-14 14:33:41.214,0.649
2018-06-14 14:33:46.214,0.652
2018-06-14 14:33:51.214,0.665
2018-06-14 14:33:56.214,0.659
2018-06-14 14:34:01.214,0.663
2018-06-14 14:34:06.214,0.647
2018-06-14 14:34:11.214,0.642
2018-06-14 14:34:16.214,0.656
2018-06-14 14:34:21.214,0.657
2018-06-14 14:34:26.214,0.648
2018-06-14 14:34:31.214,0.650
2018-06-14 14:34:36.214,0.647
2018-06-14 14:34:41.214,0.648
2018-06-14 14:34:46.214,0.635
2018-06-14 14:34:51.214,0.637
2018-06-14 14:34:56.214,0.642
2018-06-14 14:35:01.214,0.641
2018-06-14 14:35:06.214,0.648
2018-06-14 14:35:11.214,0.638
2018-06-14 14:35:16.214,0.634
2018-06-14 14:35:21.214,0.641
2018-06-14 14:35:26.214,0.644
2018-06-14 14:35:31.214,0.653
2018-06-14 14:35:36.214,0.646
2018-06-14 14:35:41.214,0.650
2018-06-14 14:35:46.214,0.647
2018-06-14 14:35:51.214,0.657
2018-06-14 14:35:56.214,0.657
2018-06-14 14:36:01.214,0.646
2018-06-14 14:36:06.214,0.641
2018-06-14 14:36:11.214,0.651
2018-06-14 14:36:16.214,0.086
2018-06-14 14:36:21.214,0.007
2018-06-14 14:36:26.214,0.001
2018-06-14 14:36:31.214,0.001
2018-06-14 14:36:36.214,0.000
2018-06-14 14:36:41.214,0.000
2018-06-14 14:36:46.214,0.000
2018-06-14 14:36:51.214,0.000
2018-06-14 14:36:56.214,0.000
2018-06-14 14:37:01.214,0.000
2018-06-14 14:37:06.214,0.000
2018-06-14 14:37:11.214,0.000
2018-06-14 14:37:16.214,0.000
2018-06-14 14:37:21.214,0.001
2018-06-14 14:37:26.214,0.000
2018-06-14 14:37:31.214,0.005
2018-06-14 14:37:36.214,0.000
2018-06-14 14:37:41.214,0.000
