Time,enmoTrunc,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2018-06-14 14:24:46.214,0.000000,0.016372,0.018052,0.027509,0.001823,0.001625,0.004241,0.00,500,0,0,0,250
2018-06-14 14:24:51.214,0.000000,0.011952,0.017201,0.017656,0.001431,0.001601,0.003805,0.00,500,0,0,0,250
2018-06-14 14:24:56.214,0.000000,0.009048,0.018167,0.018890,0.001416,0.001542,0.004195,0.00,500,0,0,0,250
2018-06-14 14:25:01.214,0.000000,0.007956,0.016450,0.020741,0.001351,0.001553,0.003846,0.00,500,0,0,0,250
2018-06-14 14:25:06.214,0.000000,0.008623,0.017451,0.019884,0.001365,0.001612,0.004516,0.00,500,0,0,0,250
2018-06-14 14:25:11.214,0.000932,0.421302,0.182267,0.127577,0.038039,0.022002,0.010974,0.00,500,0,0,0,250
2018-06-14 14:25:16.214,0.029380,0.842604,0.714045,0.263886,0.199898,0.180254,0.036271,0.00,500,0,0,0,250
2018-06-14 14:25:21.214,0.046696,0.833969,0.748095,0.292031,0.253151,0.224862,0.040593,0.00,500,0,0,0,250
2018-06-14 14:25:26.214,0.047828,0.778988,0.736397,0.313294,0.248432,0.226705,0.040753,0.00,500,0,0,0,250
2018-06-14 14:25:31.214,0.046202,0.818592,0.715447,0.273901,0.250887,0.224921,0.040527,0.00,500,0,0,0,250
2018-06-14 14:25:36.214,0.049169,0.767294,0.717801,0.256435,0.246981,0.227472,0.037719,0.00,500,0,0,0,250
2018-06-14 14:25:41.214,0.050729,0.866616,0.748095,0.258144,0.252160,0.224854,0.039627,0.00,500,0,0,0,250
2018-06-14 14:25:46.214,0.045603,0.787158,0.732691,0.240291,0.246290,0.228634,0.038323,0.00,500,0,0,0,250
2018-06-14 14:25:51.214,0.049390,0.830871,0.770327,0.243193,0.252882,0.226271,0.041625,0.00,500,0,0,0,250
2018-06-14 14:25:56.214,0.048933,0.817812,0.741085,0.275586,0.251284,0.228596,0.038870,0.00,500,0,0,0,250
2018-06-14 14:26:01.214,0.043802,0.800817,0.733073,0.257296,0.251561,0.227062,0.036131,0.00,500,0,0,0,250
2018-06-14 14:26:06.214,0.050849,0.800297,0.750098,0.320119,0.254031,0.229743,0.038790,0.00,500,0,0,0,250
2018-06-14 14:26:11.214,0.046847,0.802740,0.705032,0.280071,0.251901,0.225810,0.042073,0.00,500,0,0,0,250
2018-06-14 14:26:16.214,0.046920,0.800322,0.732071,0.248177,0.251976,0.224428,0.036497,0.00,500,0,0,0,250
2018-06-14 14:26:21.214,0.047918,0.833872,0.754955,0.251879,0.250069,0.226726,0.035777,0.00,500,0,0,0,250
2018-06-14 14:26:26.214,0.044680,0.780339,0.741085,0.258144,0.247028,0.227996,0.036852,0.00,500,0,0,0,250
2018-06-14 14:26:31.214,0.049671,0.838269,0.734074,0.243336,0.253102,0.229658,0.037919,0.00,500,0,0,0,250
2018-06-14 14:26:36.214,0.046086,0.842604,0.735656,0.238020,0.252065,0.226350,0.034485,0.00,500,0,0,0,250
2018-06-14 14:26:41.214,0.045759,0.790051,0.746027,0.300005,0.251072,0.225870,0.038229,0.00,500,0,0,0,250
2018-06-14 14:26:46.214,0.049379,0.826804,0.724417,0.276416,0.251727,0.228104,0.040052,0.00,500,0,0,0,250
2018-06-14 14:26:51.214,0.047512,0.789123,0.738080,0.266117,0.249246,0.229484,0.039252,0.00,500,0,0,0,250
2018-06-14 14:26:56.214,0.046204,0.798946,0.723368,0.278077,0.249656,0.226700,0.038347,0.00,500,0,0,0,250
2018-06-14 14:27:01.214,0.053293,0.812927,0.723774,0.274091,0.251472,0.228145,0.037464,0.00,500,0,0,0,250
2018-06-14 14:27:06.214,0.046818,0.810843,0.729046,0.259425,0.252411,0.225407,0.039810,0.00,500,0,0,0,250
2018-06-14 14:27:11.214,0.048233,0.804143,0.745567,0.295259,0.250321,0.225727,0.044909,0.00,500,0,0,0,250
2018-06-14 14:27:16.214,0.045765,0.809133,0.742074,0.309639,0.253435,0.225821,0.042771,0.00,500,0,0,0,250
2018-06-14 14:27:21.214,0.047653,0.793795,0.706758,0.219462,0.249669,0.225170,0.037420,0.00,500,0,0,0,250
2018-06-14 14:27:26.214,0.045944,0.814608,0.740834,0.260037,0.252371,0.225647,0.036510,0.00,500,0,0,0,250
2018-06-14 14:27:31.214,0.047166,0.804299,0.726492,0.282064,0.249682,0.226030,0.039591,0.00,500,0,0,0,250
2018-06-14 14:27:36.214,0.048997,0.807337,0.723659,0.241627,0.250291,0.226269,0.036273,0.00,500,0,0,0,250
2018-06-14 14:27:41.214,0.042031,0.835182,0.755062,0.233226,0.251011,0.227992,0.036564,0.00,500,0,0,0,250
2018-06-14 14:27:46.214,0.046377,0.828415,0.729878,0.252163,0.250666,0.227702,0.035526,0.00,500,0,0,0,250
2018-06-14 14:27:51.214,0.043362,0.759981,0.724218,0.260639,0.248106,0.225896,0.035852,0.00,500,0,0,0,250
2018-06-14 14:27:56.214,0.045617,0.784549,0.753410,0.254204,0.250270,0.225923,0.038176,0.00,500,0,0,0,250
2018-06-14 14:28:01.214,0.047510,0.838238,0.724870,0.253160,0.253131,0.225710,0.035717,0.00,500,0,0,0,250
2018-06-14 14:28:06.214,0.043185,0.820830,0.750751,0.292885,0.253762,0.227045,0.038855,0.00,500,0,0,0,250
2018-06-14 14:28:11.214,0.042774,0.817186,0.741991,0.261561,0.249575,0.225845,0.038061,0.00,500,0,0,0,250
2018-06-14 14:28:16.214,0.050478,0.780391,0.742277,0.280451,0.251706,0.226995,0.037247,0.00,500,0,0,0,250
2018-06-14 14:28:21.214,0.044842,0.805599,0.755105,0.311538,0.250805,0.227250,0.041628,0.00,500,0,0,0,250
2018-06-14 14:28:26.214,0.019076,0.771759,0.728066,0.248825,0.155193,0.147105,0.021688,0.00,500,0,0,0,250
2018-06-14 14:28:31.214,0.001592,0.092670,0.114869,0.285244,0.010061,0.012811,0.016956,0.00,500,0,0,0,250
2018-06-14 14:28:36.214,0.000030,0.054885,0.055033,0.050310,0.007607,0.008045,0.004423,0.00,500,0,0,0,250
2018-06-14 14:28:41.214,0.000000,0.008732,0.016450,0.011275,0.001492,0.001318,0.002667,0.00,500,0,0,0,250
2018-06-14 14:28:46.214,0.000000,0.013807,0.018453,0.016944,0.001589,0.001439,0.004424,0.00,500,0,0,0,250
2018-06-14 14:28:51.214,0.001566,0.232688,0.281841,0.113025,0.032453,0.030815,0.010783,0.00,500,0,0,0,250
2018-06-14 14:28:56.214,0.071780,1.223522,1.107621,0.610972,0.264491,0.239184,0.066777,0.00,500,0,0,0,250
2018-06-14 14:29:01.214,0.442491,2.941372,2.603559,0.678937,0.786915,0.714414,0.101881,0.00,500,0,0,0,250
2018-06-14 14:29:06.214,0.667520,2.913927,2.616972,0.606936,0.979970,0.891207,0.096293,0.00,500,0,0,0,250
2018-06-14 14:29:11.214,0.651048,2.921827,2.666997,0.628059,0.980819,0.892725,0.092260,0.00,500,0,0,0,250
2018-06-14 14:29:16.214,0.658745,3.000411,2.675915,0.609976,0.984197,0.894126,0.089814,0.00,500,0,0,0,250
2018-06-14 14:29:21.214,0.658938,2.954368,2.649877,0.640686,0.988427,0.891953,0.093288,0.00,500,0,0,0,250
2018-06-14 14:29:26.214,0.662005,2.931650,2.670908,0.635273,0.979751,0.896206,0.093677,0.00,500,0,0,0,250
2018-06-14 14:29:31.214,0.674908,2.948022,2.669382,0.712635,0.988725,0.903815,0.099029,0.00,500,0,0,0,250
2018-06-14 14:29:36.214,0.662082,2.913407,2.694085,0.676306,0.984700,0.886694,0.097023,0.00,500,0,0,0,250
2018-06-14 14:29:41.214,0.664977,2.956961,2.668905,0.609027,0.987282,0.897171,0.085375,0.00,500,0,0,0,250
2018-06-14 14:29:46.214,0.665242,2.890502,2.712969,0.626065,0.983832,0.895654,0.097203,0.00,500,0,0,0,250
2018-06-14 14:29:51.214,0.669640,2.953882,2.635155,0.647850,0.990592,0.890821,0.093444,0.00,500,0,0,0,250
2018-06-14 14:29:56.214,0.659106,2.881183,2.679971,0.615908,0.981827,0.892012,0.089483,0.00,500,0,0,0,250
2018-06-14 14:30:01.214,0.650118,2.892201,2.652881,0.586055,0.985568,0.892883,0.086834,0.00,500,0,0,0,250
2018-06-14 14:30:06.214,0.652516,2.941473,2.738435,0.609216,0.982054,0.895308,0.079553,0.00,500,0,0,0,250
2018-06-14 14:30:11.214,0.643713,2.905333,2.721682,0.604992,0.983436,0.893002,0.081121,0.00,500,0,0,0,250
2018-06-14 14:30:16.214,0.640860,2.964341,2.701238,0.544431,0.979773,0.893641,0.076929,0.00,500,0,0,0,250
2018-06-14 14:30:21.214,0.640363,2.924719,2.677117,0.565125,0.982942,0.890886,0.083353,0.00,500,0,0,0,250
2018-06-14 14:30:26.214,0.640419,2.939394,2.649877,0.524351,0.986299,0.890862,0.074413,0.00,500,0,0,0,250
2018-06-14 14:30:31.214,0.647358,2.908573,2.696946,0.560141,0.977912,0.897253,0.080183,0.00,500,0,0,0,250
2018-06-14 14:30:36.214,0.639211,2.905143,2.651880,0.565872,0.979580,0.890983,0.077171,0.00,500,0,0,0,250
2018-06-14 14:30:41.214,0.639714,2.930558,2.620935,0.574285,0.969147,0.887923,0.082450,0.00,500,0,0,0,250
2018-06-14 14:30:46.214,0.654020,2.969383,2.661895,0.678795,0.976334,0.888480,0.092483,0.00,500,0,0,0,250
2018-06-14 14:30:51.214,0.655024,3.028789,2.679921,0.631953,0.972689,0.894782,0.089828,0.00,500,0,0,0,250
2018-06-14 14:30:56.214,0.667488,2.967668,2.689030,0.606986,0.979028,0.890149,0.096561,0.00,500,0,0,0,250
2018-06-14 14:31:01.214,0.672896,2.978582,2.735002,0.667734,0.986185,0.898859,0.094947,0.00,500,0,0,0,250
2018-06-14 14:31:06.214,0.667908,2.916733,2.681638,0.620246,0.980146,0.899875,0.089638,0.00,500,0,0,0,250
2018-06-14 14:31:11.214,0.669113,2.971150,2.719867,0.693603,0.985378,0.894960,0.101404,0.00,500,0,0,0,250
2018-06-14 14:31:16.214,0.664918,2.944747,2.668905,0.620465,0.986795,0.896652,0.090313,0.00,500,0,0,0,250
2018-06-14 14:31:21.214,0.649271,2.958539,2.659992,0.539448,0.982857,0.893095,0.084135,0.00,500,0,0,0,250
2018-06-14 14:31:26.214,0.638739,2.918916,2.619308,0.544194,0.986854,0.885146,0.072793,0.00,500,0,0,0,250
2018-06-14 14:31:31.214,0.645692,2.928778,2.704958,0.559144,0.984898,0.890850,0.080515,0.00,500,0,0,0,250
2018-06-14 14:31:36.214,0.653643,2.907014,2.753552,0.553164,0.984229,0.897205,0.083248,0.00,500,0,0,0,250
2018-06-14 14:31:41.214,0.644934,2.933833,2.687503,0.548371,0.982943,0.893638,0.080365,0.00,500,0,0,0,250
2018-06-14 14:31:46.214,0.654516,2.950423,2.644011,0.533563,0.983800,0.896270,0.080630,0.00,500,0,0,0,250
2018-06-14 14:31:51.214,0.657552,2.976563,2.663647,0.691704,0.990614,0.891750,0.090048,0.00,500,0,0,0,250
2018-06-14 14:31:56.214,0.124103,2.807770,2.541518,0.568115,0.423562,0.373651,0.034349,0.00,500,0,0,0,250
2018-06-14 14:32:01.214,0.000638,0.062268,0.042262,0.130916,0.005635,0.004695,0.009209,0.00,500,0,0,0,250
2018-06-14 14:32:06.214,0.000132,0.168085,0.056083,0.056812,0.009312,0.005251,0.005919,0.00,500,0,0,0,250
2018-06-14 14:32:11.214,0.007363,0.907156,0.405594,1.046527,0.041522,0.022272,0.057190,0.00,500,0,0,0,250
2018-06-14 14:32:16.214,0.001690,0.144673,0.067099,0.321309,0.010847,0.005788,0.018930,0.00,500,0,0,0,250
2018-06-14 14:32:21.214,0.000018,0.110237,0.064996,0.052825,0.014101,0.009517,0.004318,0.00,500,0,0,0,250
2018-06-14 14:32:26.214,0.000444,0.072473,0.043063,0.119603,0.009540,0.005604,0.007919,0.00,500,0,0,0,250
2018-06-14 14:32:31.214,0.000464,0.391979,0.119275,0.144421,0.015823,0.006890,0.008423,0.00,500,0,0,0,250
2018-06-14 14:32:36.214,0.001290,0.108470,0.109160,0.136180,0.016992,0.011518,0.013099,0.00,500,0,0,0,250
2018-06-14 14:32:41.214,0.001471,0.362364,0.218177,0.303991,0.043291,0.022825,0.019692,0.00,500,0,0,0,250
2018-06-14 14:32:46.214,0.011179,0.318705,0.512321,1.203356,0.040862,0.041502,0.085554,0.00,500,0,0,0,250
2018-06-14 14:32:51.214,0.000040,0.077156,0.028852,0.094736,0.004650,0.003914,0.007434,0.00,500,0,0,0,250
2018-06-14 14:32:56.214,0.000000,0.009551,0.016692,0.010649,0.001504,0.001970,0.002664,0.00,500,0,0,0,250
2018-06-14 14:33:01.214,0.000128,0.020738,0.019454,0.045991,0.002049,0.002248,0.003997,0.00,500,0,0,0,250
2018-06-14 14:33:06.214,0.000945,0.089445,0.181075,0.125631,0.011024,0.022889,0.012387,0.00,500,0,0,0,250
2018-06-14 14:33:11.214,0.000000,0.007641,0.016450,0.009967,0.001465,0.001580,0.004287,0.00,500,0,0,0,250
2018-06-14 14:33:16.214,0.015777,0.762764,0.624214,0.270851,0.144187,0.126007,0.032961,0.00,500,0,0,0,250
2018-06-14 14:33:21.214,0.246233,2.344774,2.231217,0.641630,0.570031,0.513181,0.098608,0.00,500,0,0,0,250
