HEADER_TIME_STAMP,X,Y,Z
2018-06-14 13:00:00.018,-0.011,-0.059,0.985
2018-06-14 13:00:00.038,-0.011,-0.087,1.012
2018-06-14 13:00:00.058,0.007,-0.063,0.985
2018-06-14 13:00:00.078,-0.031,-0.094,1.027
2018-06-14 13:00:00.098,-0.008,-0.066,0.995
2018-06-14 13:00:00.118,0.022,-0.074,1.005
2018-06-14 13:00:00.139,0.045,-0.064,0.984
2018-06-14 13:00:00.159,0.040,-0.082,1.004
2018-06-14 13:00:00.179,0.039,-0.062,0.978
2018-06-14 13:00:00.199,0.062,-0.081,1.009
2018-06-14 13:00:00.219,0.044,-0.060,0.982
2018-06-14 13:00:00.239,0.072,-0.082,1.017
2018-06-14 13:00:00.260,0.072,-0.054,0.977
2018-06-14 13:00:00.280,0.081,-0.082,1.006
2018-06-14 13:00:00.300,0.072,-0.060,0.985
2018-06-14 13:00:00.320,0.088,-0.078,1.004
2018-06-14 13:00:00.340,0.030,-0.071,0.990
2018-06-14 13:00:00.360,0.010,-0.081,0.996
2018-06-14 13:00:00.381,-0.011,-0.080,0.994
2018-06-14 13:00:00.401,0.001,-0.072,0.997
2018-06-14 13:00:00.421,-0.005,-0.081,1.010
2018-06-14 13:00:00.441,-0.026,-0.070,0.987
2018-06-14 13:00:00.461,-0.016,-0.080,1.009
2018-06-14 13:00:00.481,-0.026,-0.067,0.990
2018-06-14 13:00:00.501,-0.016,-0.082,1.008
2018-06-14 13:00:00.522,-0.018,-0.067,0.983
2018-06-14 13:00:00.542,-0.009,-0.082,1.007
2018-06-14 13:00:00.562,0.002,-0.067,0.982
2018-06-14 13:00:00.582,0.011,-0.080,1.005
2018-06-14 13:00:00.602,0.012,-0.070,0.990
2018-06-14 13:00:00.622,0.023,-0.077,1.001
2018-06-14 13:00:00.642,0.019,-0.074,0.995
2018-06-14 13:00:00.662,0.024,-0.076,0.999
2018-06-14 13:00:00.683,0.029,-0.071,0.997
2018-06-14 13:00:00.703,0.030,-0.073,0.995
2018-06-14 13:00:00.723,0.032,-0.077,1.000
2018-06-14 13:00:00.743,0.017,-0.078,1.000
2018-06-14 13:00:00.763,0.027,-0.073,0.985
2018-06-14 13:00:00.783,0.030,-0.075,0.997
2018-06-14 13:00:00.803,0.010,-0.067,0.984
2018-06-14 13:00:00.824,0.009,-0.083,1.010
2018-06-14 13:00:00.844,0.006,-0.070,0.975
2018-06-14 13:00:00.864,0.031,-0.102,1.055
2018-06-14 13:00:00.884,0.026,-0.041,0.958
2018-06-14 13:00:00.904,0.042,-0.111,1.032
2018-06-14 13:00:00.924,0.024,-0.048,0.958
2018-06-14 13:00:00.944,0.035,-0.086,1.017
2018-06-14 13:00:00.965,0.027,-0.072,0.995
2018-06-14 13:00:00.985,0.019,-0.074,0.987
2018-06-14 13:00:01.005,0.017,-0.085,1.012
2018-06-14 13:00:01.025,0.007,-0.066,0.984
2018-06-14 13:00:01.045,0.001,-0.063,0.973
2018-06-14 13:00:01.065,-0.002,-0.084,1.004
2018-06-14 13:00:01.085,0.014,-0.073,0.999
2018-06-14 13:00:01.106,0.038,-0.076,1.001
2018-06-14 13:00:01.126,0.042,-0.074,0.997
2018-06-14 13:00:01.146,0.028,-0.074,0.991
2018-06-14 13:00:01.166,0.017,-0.084,1.005
2018-06-14 13:00:01.186,0.008,-0.073,0.991
2018-06-14 13:00:01.206,0.022,-0.077,0.997
2018-06-14 13:00:01.226,0.043,-0.075,0.998
2018-06-14 13:00:01.247,0.056,-0.078,0.994
2018-06-14 13:00:01.267,0.042,-0.079,0.993
2018-06-14 13:00:01.287,0.016,-0.077,0.996
2018-06-14 13:00:01.307,0.009,-0.078,0.995
2018-06-14 13:00:01.327,0.007,-0.075,0.994
2018-06-14 13:00:01.347,-0.001,-0.078,0.999
2018-06-14 13:00:01.367,-0.001,-0.076,0.996
2018-06-14 13:00:01.388,-0.003,-0.074,0.990
2018-06-14 13:00:01.408,-0.003,-0.077,1.001
2018-06-14 13:00:01.428,-0.014,-0.071,0.995
2018-06-14 13:00:01.448,-0.012,-0.078,1.001
2018-06-14 13:00:01.468,-0.013,-0.070,0.986
2018-06-14 13:00:01.488,-0.013,-0.078,0.996
2018-06-14 13:00:01.508,-0.004,-0.072,0.989
2018-06-14 13:00:01.529,0.013,-0.077,0.994
2018-06-14 13:00:01.549,0.030,-0.074,0.993
2018-06-14 13:00:01.569,0.031,-0.074,1.000
2018-06-14 13:00:01.589,0.020,-0.074,1.001
2018-06-14 13:00:01.609,0.028,-0.076,0.998
2018-06-14 13:00:01.629,0.040,-0.071,0.993
2018-06-14 13:00:01.649,0.046,-0.077,1.005
